,text,is_hate_speech
10,"Madam,Bahut sochsamajhkr Mai ESS tarq pe purey42mahino mei pahucha hoon k Asli wajah ""MUSLIM Hatred""hai Jo kabi,Partition,RamTemple,GauMata,BharatMaataKiJai, VandeMatram, Raastragan, Pak Premi,Gaddaar,Bachche jyada ,5Bibiya25Bachche k safar tai karte Huey TAJMAHAL p jake atka hai",no
11,I hate sapna yaar Coz khud ko toh chalana aati nae aur hum agar tez chalaenge toh tokna shru  dheere se chalao .....  https://twitter.com/znb_abbasi/status/929388980965203968 …,yes
12,"Ha rem  "" emoji I hate this emoji! Mujhe nagini ki hi yaad aati Hai",no
13,Hate heena..... too much irritating n bat karne ka tamiz nhi hai unme....sab ko insult karna ati hai unko.....bas aur kuch nhi ati hai.....bohot insecure hai wo ladki....,yes
14,Sir apki fav kon hai iss seasn mai??,no
15,Mehanat to school me copy karke likhne me b lagti hai fir illegal kyu? Atanki ko b lagti hai fir nafrat kyu? Paise lekar ghar ki aurato ka smman bech doge kya paise aur mehanat ke liye aap?,no
16,"Ladla wo hay jo fard jurm kay bad bhi girftar nahi hota, money trail nahi deta aur saza nahi milti, 14 murder karta hay aur phansi nahi lagti.",no
17,aur ye barun ka comeback show tha. koi q nahi dekhna chahega? lekin fir b nahi dekh paye... mai shivani ko q hate karu? muze uski acting nahi achchi lagi. jo muze laga wo maine kaha. wo mera opinion hai.,no
18,Sir ji ab ye possible nahi hai bahut nafrat hai dono or ab ek hi rasta hai sarhad ke lakir ko mita kar hi ye khatam ho sakta hai jinna sahab to mar gaye or neharu ji bhi ab fir se ek kartay hai dono mulk ko @chintskap akhand bharat ek bharathttps://twitter.com/chintskap/status/929429458188091392 …,no
19,"Code phatta hai toh phatne do, Mujhe project se nafrat ho gayi hai, Mujhe development team se hatne do",yes
20,Arsi bahar jani chahiye.... I hate arsi khan,yes
21,Achha bta diya hum n show hi nhi dekha tha. Khbri krta kuch ni sirf mAA bnta h kr hina ko hate.,no
22,"Karachi say agencies panjabi, pathano ko qatal kerkay onki lashain gaoon bhaijti hain takey mohajiro kaykhilaf nafrat paida ho",yes
23,Kaahe ke Hindu bhamhanwadi se nafrat hai bus,no
24,aj arshi ne jo laat eske pichwade mei mari thi wo photo twit kro bhai juldi se.,no
25,Ar tag kro ki kon-kon esh hyena ko munh mei haddi dalna chahta h ya laat marna arshi ki trh.,no
26,Gf khoon peene k liye hoti hai aur apne babu ko thana thilane k liye bas,no
27,Haa bhai. Ye chutiye log ki hatred apni liye milan ki bela ban k aayi hai. Lets screw this haters!! @addiadn1989 #WeSupportPadmavati,yes
28,Abe bigg boss show me baki contestants bhi hai un se related news deta nhi...sirf sari updates hina se related deta hai...wo bhi hate wali...khabari hai bakri chabar chabar karta rehta hina k bare me,no
29,Stone Miracle of Hazrat Imam Hussain (RA) | Wo Pathar Jis Se Abhi Tak Khoon Behta Hai: http://youtu.be/9Kh_U6kZmqM?a  via @YouTube,no
30,Pappu ka ye saja phansi se kam nahi,no
31,Sir phansi nahi. .. sirf looted money wapas chaiya,no
32,"Bhai, ye log honour killing mein vishwas rakhne walo me se hain, khud dusri ki beheno ko din raat chedege, kisine inki behen pe tippani bhi kardi toh murder vegere ki dhamki dete hain",yes
33,Aap log kabhi America ki dalali karto kabhi nafrat,no
34,Agar isse love kehte toh hum jo karte usse kya hate?  @ChawalaRiya @Yashika12_K9https://twitter.com/DrrrSanket/status/928631679995879424 …,no
35,bc pehli baar kisne hail hitler kaha hai nahi toh #adolfhitler ko sab sadakchaap wala gaaliyan dete hai,no
36,#Narendra modi u r a hopeless PM... Apne garib ko maar daala...... I hate u.... Sirf aap bol bacchan dete ho karte kuch bhi nhi...... U r fake person,yes
37,Provinces or Banana to achi baat hay. Magar Pakistani bun Jana to Fakhar ki baat hui na. Baat baat p nafrat. Achi nahi,no
38,Acha tou un per quota system laga? Ya unko punjab say baher nikala jaisay mohajiron ko nikala intr sindh say? Unki industry nationalise hoi? Unko punjabion nay nafrat say pukra jaisay sindhi pukarty thy? Punjab ny unko qabool kia lakin sindhi ny hum ko nahi qabol kia,no
39,Bhutto Sb juke nahi phansi char gaye...Niazi se kaho mafi nama wapis le kar phansi char jaye phir maanoo or gande message bi chorne pare ge,no
40,Pervez musharraf ...Nawaz shareef ki tarhan haramkhoor choor aur awan ka paisa lotnay wala nahe tha atleast.. Haramkhoor nawaz shareef ko phansi do moto gang k sath,no
41,Jis country me sab se kam rape hote hn wahan ka qanoon laagu hona chahiye india me. Tabhi in darindo ka kuch ilaaj ho sakta hai.,no
42,Dont hate. You nanhi si jaan. Aur ek tu woh b,no
43,mujhe to dono se hi nafrat he. par BJP se mujhe itni nafrat he Zindagi me ise vote nhi dunga. kyonki ye party vote ke laayak hi nhi he.,yes
44,Ye shocked h Kya Lat padi h ise Arshi se jabardast.....Or khana khayegi n zillat ke laddu Salman ne bhijwa diye,no
45,Haha farzi hatred spreading moron @shaileshgam  blocked me.....,no
46,ye vidya salman se bhut bdi celebrity h.,no
47,Ajkaal to usse achcha kaha jata hai jo dr ahmed ya tarek fatah jaise mahapurusoko dil wo jaan se mante hai..ye nafrat pahelane log apke guru ho sakte mera nahi..mere liye vivekanand jaise sakshiat jo kahete the hindu ya muslim her indians are my brother,no
48,"as a akshra i hate hina khan ,,but jaise hi usne is ghar m apne aap ko dikhaya hai ,,i respct her ,,bhai kitna bhi galti karlo bandi apne aapko sahi proof kar deti hai ..waah or jinko footage chaea wo hina hina karte rahte hai ,,hina kis kis ko palegi show m.apni image banao sab",yes
49,Salman bahut bda chutiya h. ..sirf shilpa ka side leta h.  Kaaaminaaaa....phone pe bhe shilpa se baat kia.   Chutiya.  I hate this biased show ...abe dhang se host kr.    Isbar unfair #LuvTyagi #eyehinakhan #ipriyanksharma,yes
50,Aayega jab take alia ki shaadi age pass aayegi kyuki alia said 30ki hoote hi won shaadi kargi varun bhi kitna kutta hai Natasha ka shaadi ka spna this alia ke saath shaadi ki baat paaki kar ki hate varun alia sid please career pe focus karo aue alia ke banner se film mat karo,yes
51,"mahajiron se kisi ko bhe nafrat nahe hai,mostly log mohajiron ki tragedy ko samjhte hain.aur ,but altaf husain ne qatal o gharatkar ke mohajir cause ko badnaam kar dia hai.",no
52,Haan hm tilak dekr chhod dete hain jalate nahin hain orton ko ya kisi baba ko rape krne ke liye nahin dete hain,no
53,Pata nahi log kyun rape karte he farziwal ke sarkar me har 1 km par spa khula he aap bhi add kar do rape kam hi jayenge,no
54,"Ye kasisi sacchai Hai RSS wale Bomb banate Hai aur media Raafiya Naaz ko lekar Muslmano ke khilaf zaher ugalta Hai kub Tak aisa chalega,",yes
55,apne personal hatred k liye srk ka nam badnam kr rhe hai chutiye...bhakts ko support kaise kr sakta hai koi lolll,no
56,Red sy kyunky red tumhe meray khoon ki yaad dilay ga <3,no
57,"is ghar main apko jis insan se nafrat ho samjh lo wo insan nafrat ke layak nahi hai balki izzat ke layak hai ,or jisko dekhke izzat ka dil kare samjh lo wo bahrupiya hai ,,ye is ghar ki khasiyat hai ..3 people are real..sapna akash or hina.baki sab fake or banwti hai. #BB11",no
58,Ek  Ara ke Bjp ke jila mahamantri  Sh.Dhirendra singh se sare aam Road chaap leader Surendra singh or uske bodyguard Rinku singh murder karne ke udeshye se aa kar maarvkar chala jata hai .or Hamari BJP ke karya karta aise hi baithe hai.kal ye ghatna aap or Hum  .,no
59,Pichle 2 month se jio ka net 50K/s se jyada jata bhi nahi hai kuch bhi online dekhe to buffering ke bina sambhav hi nahi hai,no
60,4G bolkar 2G ka speed mil raha hai ye sara sar dokha hai .I hate jio,yes
61,tujhe murder kar dungi main!,yes
62,I hate weddings ye madrchod log 1 ghante se ghar k niche dhol baja rhe h,yes
63,Haan khuch log to twtr se v murder kr shakte hain apni ghatiya tweets se aayi,no
64,Humidity ka kam tu mat kar rape hua he bhi ki ni 95%case jhut hote he fashion ban gaya he ye fasal mota kamao tum chutya media ki vajah se,no
65,"Hina apni galti manane ko tayar hi nahi hoti.wo hai kya ki usko itna ghamand hai,sabko bolti hai ye mera class nahi,fake lady,arshi bahut acchi hai is heena se,I hate her",yes
66,Jis par nitiyo he wahi janta he ye media bhenchod rape rape chillata he sach kutch or hota he isiliye.Aropi ladki jhute fasa deti he 95%forg,yes
67,"Chatukarta ke baare me to Maine Suna hai BJP ne ab tak ke saare record tor diye lab ke. Ab to Pehchaan hi yahi hai DOOSRI buri zubaan, gaaliyan aur sachchayee, imaandaari aur aqal se nafrat.",no
68,Saheb 60 sal.Kyabhutta. bun rahe tha or. Kabhi cort nahi gaye ho pahle pata karo rape ke 95%case forge hote he tum jaise media kanon banwaya,no
69,lol true kuy ki uski jo awwam haina jo is duniya se bhaar jaha se jaadu aaya tha vha ke log aise krte hai aur khud buddhi hai aur dusro ko bolti kitna makeup krti hai khud asli pic dekh legi na jiss deen khud se nafrat krne lagi arshi,yes
70,@JioCare mere aria me jio ka speed 50K/s se jyada  milta hi nahi hai .Aisa sambhav hi nahi hai ki bina buffering ka koi video online dekh le,no
71,4G ke naam par 2G mil raha kai,no
72,Aisa hi raha to recharge samapt hone ke baad jio chor kar kisi aur me chale jayege,no
73,"Sanitary Napkin bhi sasti ho gayi Pahan le , Bahut khoon fek raha tum logo ki dukan se",no
74,Aaj to Salman bhi chupke se bol Gaye k I hate Hina and agree with #Arshi fir bhi Hina k andhe bhakto ko dhik nhi raha,no
75,"Sabhi jagah to media wale nafrat or jhgde to faila hi rhe hai ,ab logo k ghar me v suru ho gye",no
76,30 saal Punjab ki awam ka khoon choosnay walay Sharif brothers aaj Tak saverage ka nizam theak nai kar sakay..,no
77,#Hina ko main dekhna or Soonna pasand Nahi karta I hate #HinaKhan,yes
78,Tujhe nafrat hoti hai na pando se.. Tu bhi pandi hi hai.. Ek kaam kr.. Ek baap ki aulaad hai to ek dalit se shadi krio. Dekhte hain ki tujhe sirf yahan publicity chahiye ya tu sacchi h.. Mai ek dalit se pyar krta hu aur shadi bhi krunga usise.,yes
79,What's wrong with Sapna... Samjhti kya hai... After Hina I hate her... Kitna attitude hai... Karna kuch nahi hai bas bakwas karni hai.... #BB11,yes
80,Har election ke pahiley Janta ke samne kuch tukde fenk diye hate hain,no
81,Mera Khoon khaula tha q ki wo movie Boycott Khan ki wajah se hui thi aur Ye Rajpoot ki wajah se...,yes
82,I hate this Sapna so much  itna ghamand kisliye bhai?,yes
83,Bhai ji aap ko Kya karna hai birthday manaye ya nhi manaye...aap apna kaam theek se toh karna sheekho..jhut or jumlaa aap k khoon mai hai,no
84,Hina ne Shilpa ji ko kitna Acha Bola hai ki humare profession main make-up lagana padta hai aapki aadat chhoot gayi hogi,no
85,Padmavati Ka Dusra Khoon Sunkar Kano Se Khoon Nikalne Waala Aur Deepika Ko Dekhte Hi Vomiting. Koi Itni Ugly Kesi Dikh Sakti Hai Bhai.,no
86,Arshe jaisii Gandi tho nahi hai hina...we love hina we hate Arshi n Akash,yes
87,"Punjabion ne Punjabion ko maara. Isliye nahi jataya aap ne. Kisi ne nahin kaha tha apne hi zaat paat muhallay ki aurton ka rape karo, kisi ne nahin kaha tha aik doosre ke talwaaron se shaheed kar do. Ab is main koi aur kia kare jo Punjabion ne khud aik doosre ke saath kia? https://twitter.com/samar_abc/status/929395873695617024 …",no
88,Bhai wo hate story ki stages hoti hn..,no
89,Bohat hi fazool. college se sakht nafrat hai. Mujhe 10th ki chuttiyan wapis la do,yes
90,@deepikapadukone ne SRK ko attitude dikhaya tha.,no
91,Better hai sab milke kuch accha socho acchi sarkar yuva sarkar banao kuch progress karo milke jisse desh ki taraqqi ho.,no
92,"Bhai movie nai Dekhi par Sanjay Leela ko jaante hai, aapko agar pata hota kei ye Saab raajput se nafrat kyu krte hai or ek baar nai ye apni kai filmo me raajput o ko nicha dikhane ka koi moka nai chodte. To aap ye bakwaas nai krte",no
93,"Lol maine pura thread kiya tha, wo dekha nai? KARMA IS REAL.",no
94,LEKIN TUM SAB LOG PERSONAL HATE KI WAJAH SE CHUTIYAPA KARTE HO,no
95,Se Cancer K Mareez K Elaj Karwane Lahor Jane Wale Mutadid Sheri Panjab Poliec K Hate Chad Gai.,no
96,Mai bahut respect kar Tha @deepikapadukone ko Dilwale k phele Tak jab usne  #ChallengeAccepted ka tweet dala tabse aj tak hate h hate krta Hun aur karta Rahunga (Kismat badi kutti cheez hai saali kabhi bhi palat jaati hai) Kabhi nhi bholunga jab Tak h jan,no
97,"Ye deekho ek aur farzi rashtravadi.. isko Muslims ka cencus yaad hoga aur pure world ka history bata dega, Islam majority = Terrorism & Non secular, yahi samjayega.. Hindu bachao yahi chilayega.. hahaha https://twitter.com/Atheist_Krishna/status/929392383912845312 …",no
98,Koii School ka Imtihaan Nhi,no
99,"Fir bhi Hindu Terrorism secular logonko najar ata hai aur Yoga me communalism & safronisation! Unka Yoga virodh hindu virodh nahi, secularism & shanti sandesh samazna chahiye! https://twitter.com/pooja303singh/status/929223222356271104 …",no
100,"Ravish SACHCHA suchcha journalist hai. AUR BJP KO SACHCHE, IMAANDAARI AUR BUDHDHIJEEVI, INTELLIGENT AUR ACHHE LOGON SE NAFRAT HAI. EXTRA ORDINARY LOUD VOICE AUR ZEHREELE SHABD ISTEMAAL KARENGE.HAR WAQT GUSSIE ME RAHENGE.YE KYA SANSKAAR,LARISA CULTURE HAI.BURE LOG. BURI SOC.",no
101,Oooo hello jo bhi serial dekhke hina ke fan the wo sab log aaj hina ho hate karne lage he 60% log ab samaj lo tum hi.n salmanji ne bhi aaj hina ki bajai lagta he dekha nahi he. Kutti he hina,no
102,Tum Ne Dekha Ho Ga K Kanta Lagny Per Log Phool Ko B Phenk Dety  Hain .Love U.....,no
103,Ham likhte hi aisa hai ki khoon garam ho jaae! Khikhikhi! Khair yah bas mera imagination hai as a writer! Baaki OM RAUT ne apna likha hoga kuch alag!,no
104,bhai isko idhar chod aur nikal..iska movie aane de..tab dekhta hoo isko..saale sab milke hate trend karre hai..God bless them,yes
105,"Ram ko kalpanik bolne Wala aur ye kehne Wala ki "" Jo Mandir jaate hai, wo ladkiya chedte hai"" Aisa kutta ab ""TEMPLE RUN"" Khel Raha hai...",no
106,"Ye to Hinduo se nafrat karta hai na....fir Mandir k dhakke kyu...isse Astha se koi mtlb nahi, elections se hai.",no
107,Achchha Indian Hindu n achchha Indian Muslim kabhi bhi ekdusre ke liye dil me nafrat nahi rakhta!Sir aap aise comments ko ignore karein pls!,no
108,@Bigg_Boss__ Hina  such a diplomatic  drama queen..khud aag lagati Hai baad me dusro ka naam leti Hai..hate u,yes
109,Koi Tiger ka khoon kar do... Humari nhi to kisi ki nahi...,no
110,Jiska khoon  ek movie free mein dekhne ke liye ufaan maare wo Rajput,no
111,Jo bina zyaada load liye movie dekhne jaae wo moviegoer,no
112,"Jo Twitter pe Support, Boycott ka trend kare wo Chutiye",no
113,hina khan ek murder bhi kar degi toh bolegi maine use jaan lene ke liye nahi maara aise hi goli chalakar dekh rahi thi uspe,no
114,"Sir @jaipur_police , humare Rajput bhai @amitsingh933 ka khoon... http://fb.me/7sbLsxEy1",no
115,"Sir @jaipur_police , humare Rajput bhai @amitsingh933 ka khoon ufaan maar raha hai.  Kuch ho sakta hai kya? pic.twitter.com/58WFsQwnUh",no
116,ISE DEKH KAR JISKA KHOON NA KHOLE OR WO CHEEPIKIANS KO SUPPORT KARE TO WO CHUTIYA https://twitter.com/indicine/status/678186502291984384 …,no
117,India wale sab arshi ko hate karte h,no
118,Dil Sambhal Ja Zara Phir Mohabbat Karne Chala Hai Tu- Murder-2,no
119,Hate them. Sare marks yahin jate hain bc kisi ko kuch nahi ata,no
120,Yaar I hate Bigg Boss par Aaj Maine Kapil  sir ke liye Bigg Boss Dekha per Kapil  sir to Aaye hi nahi,yes
121,370 hate ya na hate abdullah india me hoke v pok pakistan ka batate hai aur tere jese 2 kodi ki congi chudail wahi kahegi jo congress karti ayi hai. tujhe v lagta hai halala ki aadat pad gyi hai islie esa bol rhi hai,no
122,KOI RAPE KAR RAHA HO ..AUR TUM DEKHTE RAHO TOH TUM BHI GUNHEGAR HO,no
123,To Bhai muhabbat konsa DSP lagwa deti Ha,no
124,@BeingSalmanKhan I hate ppl wen dey call him bhai jabki vo feeling hoti hi nahi hai,no
125,Desh me kitna Hatred felaoge Sir ji,no
126,Mulle Sirf terrorism ko invent karne ke liye jeet sakte hai..,no
127,"Is MC ko Bharat mein la kar phansi dena hai!! Kya  kar rhi BJP sarkar, parliament mein phle Pakistan  ko Atankwadi desh to ghosit kare e.",no
128,suadie kings apne badshat bachane k liye kisi ko be ne chora,no
129,muslamno ko Mecca aur Madina k nam pe cash karwata raha,no
130,@BeingSalmanKhan Aajkal Thodi bahut Nafrat si ho gai hai Aapse d way u... Blacked Heena Khan ....,yes
131,hatred for all men..Dosti hai Dushmani to nahin..,no
132,I also hate her ... mc @deepikapadukone bhut ghamandi hai... Srk ko thanks tak Ni bolahttps://twitter.com/5blurryface/status/929370858463752193 …,yes
133,Varun khan? ulti ganga hate speech @SanjayAzadSln @jigneshmevani80 @Shehla_Rashid @DrKumarVishwas @kanhaiyajnusu @ikamalhaasan @LambaAlka,no
134,Bhakts Hamesha SRK Ko Target Krte Hai ..,no
135,Hate Deepika K Liye Hai ..,no
136,Tag Block Bhakt Ka  Real SRK Haters ....,no
137,Btw Movie Apne Ko Dekhna nhi Hai,no
138,Badi ummide lagaye bethe hai apni maa ke murder ke khulase ka.hamare ander bhay hai . Thana fatehpur sikri ke imlaoda gaon ki daqeti murder ka,no
139,"Toilet ghotala, Sri Jan ghotala, bandh ghotala aur murder ka aarop.  Wah re tera surya.  Paltua ko sharm bhi aata hai ki nahi? ?",no
140,Ma khata ho Article 63 ka tahat is bat pa muzamil Abbas Tara ko 51 bar phansi ke saza honi chaye........gali gali ma shooor ha aia sara .................chorrrr ha,no
141,Thank You Gud night.Mere kaan se khoon nikal raha hai.,no
142,Islamic terror faila rakha ha india me inhone,no
143,muje kabhi yaqin nahi asakta tumhari baat pe k u like puneesh..isliye kyun karun nafrat jb tum keh hi jhoot rahi ho,no
144,@mahwashajaz_  tumre yaha aise khule aamm murder hote hai kya? https://twitter.com/ZeenabBaloch/status/935350186381070336 …,no
145,kisi kay baap ka yeh Pakistan thori hay !!,no
146,Are iski baat ur gadhe ki laat ek jesi h roj palti marti h...iska koi bharosa nhi...i hate her to much roj gand nikalti h shilpa k liye...ise bas hina pasand h,yes
147,Kabhi nahi jhoot sunn kar kaan may se khoon nikla .   vote for shilpa,no
148,Yeh talent #Rishtedaaron main b hota hai,no
149,Chalo koi toh hai jo sacchai dekh sakta Hai...warna baqi toh andhe ho chuke hai nafrat me..koi hater galat video bana k bhej raha Hai aur yeh log pura such jane bagair uchal rahe Hain pagal log,no
150,Bandagi k aankhu se khun k aansu kya aankh phod k khun hi Nikal do... I hate this bitch..  #bb11,yes
151,"Ek Chehra Dil Ke Kareeb - Melodious Song - Lata @ Garam Khoon - Vinod Khanna, Sulakshana Pandit http://fb.me/t3qCAhx4",no
152,I hate shilpa...Ye jo dikhti hain na woo nahi hain..every time simpathi leti hain Salman Khan se..,yes
153,Sir lekin jo log rajput nahin hain to unka khoon dhanda hota hai?,no
154,"Tu Jaha Mai Waha, Starring: Vinod Khanna, Sulakshana Pandit, Movie- Garam Khoon 1980 http://fb.me/2oqOYfAgJ",no
155,@TheKaranPatel  Yaar hadd ho gayi Karan Bua ki - iski subah SAAM Hina ke comments pe Hoti hai  Aur baat kaisi karta hai - Hina KO koi fark Nahi padta - aur Tu Apna khoon jalan raha hai  Aur aam janta see gaali bhi khaa Raha hai hadd hai,no
156,Jab Pappu Khan saffron terrorism bolta hai tab Hinduoo ka apman nahi hota hai?  Chee papu khan kay Pidi?,no
157,Ghatiya Gandagi Gairgujri Gulchharrey udaney walo ...Hatred Pungi,no
158,Good job magar dindharai rape murder Jo ho raha Hai bihar mai usko bhee dhayan rakhai Aap Twitter par pheknai sai kuch na hoga saheb crimes par control karai,no
159,"Ek ""khooni liberal"" ki ek buhat baray Leader say moaddabana guzarish. Aap liberals pe toh baras paray magar aap ke khoon kay piasay Khadim Rizvi aur Afzal Qadri say aap nay kufr kay fatway kay dar say is saal kay shoro main maafi maangli thi @ImranKhanPTIhttps://youtu.be/a5TGrUx3SGI",no
160,ISSE KEHTE HAIN AANDH BHAKTI ....          HATE FOR SHILPA SHINDEY,no
161,Jo dharam ko chhupaye vo socho kya bhala kr skta h kisi ka..tbhi m socha ye saffron terror kyon kah rha h. Aaj itna pyar saffron se. Gandhi nhi gndi nali ki paidaish h.,no
162,"@geeta_phogat Thank you so much for this, hater ka aur kio kaam nahin hain, Hina ke liye itna hate hain ke aankhen band kar ke dekhte hain.",no
163,"Tum logo ko dete hunge Paise. Tum logo ko humare mulk k baato me kyu itna interest hai? Ohh samajh gaya, tum logo k mulk me Ab kuch baat karne reh he nahi gaya hoga. Sab kuch terrorism se he shuru aur nahi khatm",no
164,@GAUAHAR_KHAN @iamkamyapunjabi  why you guy have so me hate rate for someone kuch din ka biggboss hai khatam ho jaiga pr ap  logo k dil me apni jaga mat khoiye or @iamkamyapunjabi hina jo bhi or jaha se bhi aye hai pr ap kon ho ?https://twitter.com/geeta_phogat/status/935912187876458497 …,no
165,"Yukh, hate atay jaisay chitti larki",no
166,Arshi khan KO add q nai kia apni hatred mai?,no
167,Is conversation mai wo bi ti.,no
168,Sub Kai apnay point of view,no
169,But haters bicharay andhay.,no
170,"@sambhavnaseth Toh vikas Ke samne when someone said kali where is he? Vikas bhi Boht galt hai Kuch chizo mein. Aur shilpa ka bhi ab woh pehle wala roop Nikal raha hai because Uske arshi Aur akash ne Darar dikh rahi hai. Aaj na shilpa gandagi Aur puneesh mein se nafrat, contin...",no
171,Gale dena achi bat nahi agar ye sab khatam karna hai to #LuvTyagi ko vot karo ye sab khud ba khud khatam ho jayega,no
172,@sambhavnaseth mam apne Aaj bola sahi bola. But vikas bhi maze le raha tha. Waise Toh ladki Ko Moti bola usko bada problem ho raha tha. Aur Sab gandagi ne kiya hai but shilpa ne bhi Uski bhadas nikali hai sabpe. Uska hatred Aur uske sath jo bahr hua hai that has made shilpa.,no
173,"Aaj ka ep dekh k sahi me itna he khoon khol rha tha,Jis tarah se janwaro ki trh punish ne trimmer chalaya luv ko luckily khoon ni aya,hina n akash k sath jo kia insaniyat h he ni kya shilpa punish vikas bandagi me. #SHAME @BiggBoss @BeingSalmanKhan @eyehinakhan @TheLuvTyagi #BB11https://twitter.com/sambhavnaseth/status/935933743667261440 …",no
174,Bad politics ek hindu bhai dusre hindu bhai ka khoon pene k liye taiyar hogaya he...,no
175,Abhi bhe time he sab sudar jao.,no
176,"@TheKaranPatel  aapke paas koi kaam nahi he? Pura din yahi sochte ho ki Hina k against kya tweet karu aaj? Aap kisi mitti k bane ho? Insaaniyat bhi nahi he aapme, really. Muje regret hota he ki me kabhi aapka fan tha.  Now I hate u karan, aap to Patel kahne k laayak bhi nahi.",yes
177,Bda chhuparustam nikla re rahul baba.. Ise kahte h deeye niche andhera ...desh ko dhoka.. Aankho me dhul jhonk rha thha.. Aaj pta chla ye saffron terror kyon kahta firta h. Dhokhebaj h aaul baba,no
178,"@gauhar khan muje regret hota he ki mene season 7 me aapke liye votes kiye the aur aapka fan tha, but ab to aapne saari ijjat gava di ki ek hina k piche padi rehti ho.  Aapke paas koi kaam nahi He kya? Pura Dina hina k against tweet k bareme hi sochta ho? I hate u gauhar...",yes
179,Hate U Arshi Khan.. Hindustan Ki Awam Dekh Rahi Hai Dushman Se Dosti Tumhari..Ye Game Hai Ya Pyar..,yes
180,Gauahar k FB pe Hina se kam followers hain .. sahi toh hai ... logo@ko sach batana achha lagta hai sun na nahi .. koi gali toh nahi di na... kuchh bewkoof aise react kar rahe hain jaise murder kar diya ho  agar Hina inki chaplusi karti toh achha bolte,no
181,I hate u Kamya... muje regret hota he ki me kabhi aapka fan tha... aapko insaaniyat naam ki koi chij hi nahi he aapne... I hate u Kamya...,yes
182,Rishta Likhenge Hum Naya Chotti Thakurains chakarvyuh earns Ratans hatred… https://goo.gl/fb/AZY4UF  #StarPlus #Colors,no
183,"Aaj kal khoon rare aata hai, due to unhealthy diet",no
184,"Jish movie ki story rape viktim girl ki ho,kya ek viktim ko sexy bolna shi hai,ye log simple name rakh skte the.",no
185,but inko Aise naam rakh kar controversy create kark film ki free publicity karwana tha.,no
186,Vivad hone pr freedom of speech khatre mein aa jata hai,no
187,We are showing  we  really kya baat kar rahe ho  aanshu aagaye yaar koi itna hatred kaise laa sakta hai,no
188,MAIN kon se sachye sa baagi? app ek pic laga k khud tabsra ker rahy ho? main ki koi laga doon ore khoon tum ya ker rahy thy? hahahah lol kia mazaq ha? pic.twitter.com/lwJkNXRkTq,no
189,Ajj mujhe puneesh aur bandgi ko dekha kar itna zadya gussa aa rha tha ki kaise log hai yeh Mujhe iss season k sabse worst Constants mil gye,no
190,Wese bhi ye sanghi hijde shadi se zyada rape main vishwas rakhte to teri maa ki sari khol kar dekh khaki chadhhi pehni hogi lol hijde chakke,no
191,Kal uski behn bati rape hogi,no
192,Tab bhi love jihad avivyakti ki azadi ban Jana chache,no
193,To khul ke bole pyar hai nafrat nhi... Game kiu khel raha hai,no
194,10 Logon Ko Phansi Lag Jae To Corruption Khatam Hojae Gi.. Sheikh Rasheed... http://fb.me/9huioeX0q,no
195,kaun h vo log jo Hina Akash or luv ko vote kr rhe h...dil khi kho diya kya??? nafrat bdi cheez h.....,no
196,ek bar fair hokr vote ni kr skte??? insaniyat ki hade par ho gai aaj https://twitter.com/bollywood_life/status/935931424024166405 …,no
197,"madam aap ka chinta karna bilkul jayaj h, aap ke pati ek bahdur or nidar insan h, biswas rakhiye sir to bahut door ki baat h koi haat bhi nhi laga sakta h, phir aap bhi to ek hindu viragna ho, rani laxmibai rani durgabatti inka or aap ka khoon ek hi h,aap apne pati ki sakti ho,",no
198,Hate u sooooooooooooo muuuuuuuuuuchhhhhh big boss gandgi faila rkhi h bndgi punish ne unhe kuchh nhi khoge hina pr chd jaoge,yes
